Inversion Individual Karyotype
LGC1.2 P01-H08-SRK-21-E26.GT 1
LGC1.2 P01-H09-SRK-21-E34.GT 1
LGC1.2 P01-H10-SRK-21-E42.GT 1
LGC1.2 P01-H11-SRK-21-E50.GT 1
LGC1.2 P02-A09-W-REF-21-14.GT 1
LGC1.2 P02-A10-W-REF-21-22.GT 1
LGC1.2 P02-A11-W-REF-21-30.GT 1
LGC1.2 P02-A12-W-REF-21-38.GT 1
LGC1.2 P02-B08-W-REF-21-07.GT 1
LGC1.2 P02-B09-W-REF-21-15.GT 1
LGC1.2 P02-B10-W-REF-21-23.GT 1
LGC1.2 P02-B12-W-REF-21-39.GT 1
LGC1.2 P02-C08-W-REF-21-08.GT 1
LGC1.2 P02-C09-W-REF-21-16.GT 1
LGC1.2 P02-C10-W-REF-21-24.GT 1
LGC1.2 P02-D08-W-REF-21-09.GT 1
LGC1.2 P02-D10-W-REF-21-25.GT 1
LGC1.2 P02-D11-W-REF-21-33.GT 1
LGC1.2 P02-E07-W-REF-21-02.GT 1
LGC1.2 P02-E08-W-REF-21-10.GT 1
LGC1.2 P02-F10-W-REF-21-27.GT 1
LGC1.2 P02-G08-W-REF-21-12.GT 1
LGC1.2 P02-G09-W-REF-21-20.GT 1
LGC1.2 P02-G10-W-REF-21-28.GT 1
LGC1.2 P02-G11-W-REF-21-36.GT 1
LGC1.2 P02-H09-W-REF-21-21.GT 1
LGC1.2 P02-H10-W-REF-21-29.GT 1
LGC1.2 P02-H11-W-REF-21-37.GT 1
LGC1.2 P02-H12-W-REF-21-45.GT 1
LGC1.2 P03-A08-DO-21-24.GT 1
LGC1.2 P03-A09-DO-21-32.GT 1
LGC1.2 P03-B02-DO-92-02.GT 1
LGC1.2 P03-B03-DO-92-10.GT 1
LGC1.2 P03-B04-DO-92-18.GT 1
LGC1.2 P03-B05-DO-21-01.GT 1
LGC1.2 P03-B07-DO-21-17.GT 1
LGC1.2 P03-B08-DO-21-25.GT 1
LGC1.2 P03-B11-DO-21-49.GT 1
LGC1.2 P03-C03-DO-92-11.GT 1
LGC1.2 P03-C04-DO-92-19.GT 1
LGC1.2 P03-C10-DO-21-42.GT 1
LGC1.2 P03-C11-DO-21-50.GT 1
LGC1.2 P03-D01-W-REF-21-49.GT 1
LGC1.2 P03-D03-DO-92-12.GT 1
LGC1.2 P03-D04-DO-92-20.GT 1
LGC1.2 P03-D06-DO-21-11.GT 1
LGC1.2 P03-E01-W-REF-21-50.GT 1
LGC1.2 P03-E03-DO-92-13.GT 1
LGC1.2 P03-E04-DO-92-21.GT 1
LGC1.2 P03-E05-DO-21-04.GT 1
LGC1.2 P03-E06-DO-21-12.GT 1
